Method,Role Fit Weight,Formation,Formation Slot,Name,Player Key,Primary Position,OVR,Quality Score,Role Fit Score,Selection Score,Accepted Exact Positions,Suitability Roles
Quality + Role Fit,0.75,4-2-3-1,LW,Vini Jr.,238794,Left Winger,89.0,0.89,0.804790673085482,0.8260930048141115,Left Winger,Winger
Quality + Role Fit,0.75,4-2-3-1,RW,Marin Soticek,73582,Right Winger,66.0,0.66,0.8502706934400099,0.8027030200800075,Right Winger,Winger
Quality + Role Fit,0.75,4-2-3-1,ST,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,0.9749708463860486,Striker,Striker
Quality + Role Fit,0.75,4-4-2,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.8765000000000001,Goalkeeper,GoalkeeperSkill
Quality + Role Fit,0.75,4-4-2,LB,Nuno Mendes,252145,Left Back,86.0,0.86,0.99502880398078,0.9612716029855849,Left Back,Fullback
Quality + Role Fit,0.75,4-4-2,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.9721352062646709,Center Back,Center Back
Quality + Role Fit,0.75,4-4-2,CB2,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,0.9697821866088103,Center Back,Center Back
Quality + Role Fit,0.75,4-4-2,RB,Carvajal,204963,Right Back,85.0,0.85,0.98902408278031,0.9542680620852325,Right Back,Fullback
Quality + Role Fit,0.75,4-4-2,LM,Samuel Abifade,244188,Left Midfielder,64.0,0.64,0.8796406336269212,0.8197304752201909,Left Midfielder,Wide Midfielder
Quality + Role Fit,0.75,4-4-2,CM1,Macarton Louis Nickson,278197,Central Midfielder,66.0,0.66,0.954995001040222,0.8812462507801665,Central Midfielder,Central Midfielder
Quality + Role Fit,0.75,4-4-2,CM2,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.8802914844147863,Central Midfielder,Central Midfielder
Quality + Role Fit,0.75,4-4-2,RM,Benjamin Goller,246074,Right Midfielder,66.0,0.66,0.8956696574530406,0.8367522430897805,Right Midfielder,Wide Midfielder
Quality + Role Fit,0.75,4-4-2,ST1,Victor Osimhen,232293,Striker,87.0,0.87,0.9996334420377488,0.9672250815283117,Striker,Striker
Quality + Role Fit,0.75,4-4-2,ST2,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,0.9749708463860486,Striker,Striker
Quality + Role Fit,0.75,4-1-2-1-2,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.8765000000000001,Goalkeeper,GoalkeeperSkill
Quality + Role Fit,0.75,4-1-2-1-2,LB,Nuno Mendes,252145,Left Back,86.0,0.86,0.99502880398078,0.9612716029855849,Left Back,Fullback
Quality + Role Fit,0.75,4-1-2-1-2,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.9721352062646709,Center Back,Center Back
Quality + Role Fit,0.75,4-1-2-1-2,CB2,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,0.9697821866088103,Center Back,Center Back
Quality + Role Fit,0.75,4-1-2-1-2,RB,Carvajal,204963,Right Back,85.0,0.85,0.98902408278031,0.9542680620852325,Right Back,Fullback
Quality + Role Fit,0.75,4-1-2-1-2,DM,Moisés Caicedo,256079,Defensive Midfielder,87.0,0.87,0.9827188664274614,0.9545391498205961,Defensive Midfielder,Defensive Midfielder
Quality + Role Fit,0.75,4-1-2-1-2,CM1,Macarton Louis Nickson,278197,Central Midfielder,66.0,0.66,0.954995001040222,0.8812462507801665,Central Midfielder,Central Midfielder
Quality + Role Fit,0.75,4-1-2-1-2,CM2,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.8802914844147863,Central Midfielder,Central Midfielder
Quality + Role Fit,0.75,4-1-2-1-2,AM,Daniel Cataño,231667,Attacking Midfielder,73.0,0.73,0.9885450934696004,0.9239088201022003,Attacking Midfielder,Attacking Midfielder
Quality + Role Fit,0.75,4-1-2-1-2,ST1,Victor Osimhen,232293,Striker,87.0,0.87,0.9996334420377488,0.9672250815283117,Striker,Striker
Quality + Role Fit,0.75,4-1-2-1-2,ST2,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,0.9749708463860486,Striker,Striker
Quality + Role Fit,0.75,3-5-2,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.8765000000000001,Goalkeeper,GoalkeeperSkill
Quality + Role Fit,0.75,3-5-2,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.9721352062646709,Center Back,Center Back
Quality + Role Fit,0.75,3-5-2,CB2,Jonathan Tah,213331,Center Back,87.0,0.87,0.9997990044585502,0.9673492533439126,Center Back,Center Back
Quality + Role Fit,0.75,3-5-2,CB3,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,0.9697821866088103,Center Back,Center Back
Quality + Role Fit,0.75,3-5-2,LWB,Nuno Mendes,252145,Left Back,86.0,0.86,0.49913700551221657,0.5893527541341624,Left Back|Left Midfielder,Fullback|Wide Midfielder
Quality + Role Fit,0.75,3-5-2,RWB,Carvajal,204963,Right Back,85.0,0.85,0.4949408118314053,0.5837056088735539,Right Back|Right Midfielder,Fullback|Wide Midfielder
Quality + Role Fit,0.75,3-5-2,DM,Moisés Caicedo,256079,Defensive Midfielder,87.0,0.87,0.9827188664274614,0.9545391498205961,Defensive Midfielder,Defensive Midfielder
Quality + Role Fit,0.75,3-5-2,CM1,Macarton Louis Nickson,278197,Central Midfielder,66.0,0.66,0.954995001040222,0.8812462507801665,Central Midfielder,Central Midfielder
Quality + Role Fit,0.75,3-5-2,CM2,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.8802914844147863,Central Midfielder,Central Midfielder
Quality + Role Fit,0.75,3-5-2,ST1,Victor Osimhen,232293,Striker,87.0,0.87,0.9996334420377488,0.9672250815283117,Striker,Striker
Quality + Role Fit,0.75,3-5-2,ST2,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,0.9749708463860486,Striker,Striker
Quality + Role Fit,0.75,3-4-3,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.8765000000000001,Goalkeeper,GoalkeeperSkill
Quality + Role Fit,0.75,3-4-3,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.9721352062646709,Center Back,Center Back
Quality + Role Fit,0.75,3-4-3,CB2,Jonathan Tah,213331,Center Back,87.0,0.87,0.9997990044585502,0.9673492533439126,Center Back,Center Back
Quality + Role Fit,0.75,3-4-3,CB3,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,0.9697821866088103,Center Back,Center Back
Quality + Role Fit,0.75,3-4-3,LWB,Nuno Mendes,252145,Left Back,86.0,0.86,0.49913700551221657,0.5893527541341624,Left Back|Left Midfielder,Fullback|Wide Midfielder
Quality + Role Fit,0.75,3-4-3,RWB,Carvajal,204963,Right Back,85.0,0.85,0.4949408118314053,0.5837056088735539,Right Back|Right Midfielder,Fullback|Wide Midfielder
Quality + Role Fit,0.75,3-4-3,CM1,Macarton Louis Nickson,278197,Central Midfielder,66.0,0.66,0.954995001040222,0.8812462507801665,Central Midfielder,Central Midfielder
Quality + Role Fit,0.75,3-4-3,CM2,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.8802914844147863,Central Midfielder,Central Midfielder
Quality + Role Fit,0.75,3-4-3,LW,Vini Jr.,238794,Left Winger,89.0,0.89,0.804790673085482,0.8260930048141115,Left Winger,Winger
Quality + Role Fit,0.75,3-4-3,RW,Marin Soticek,73582,Right Winger,66.0,0.66,0.8502706934400099,0.8027030200800075,Right Winger,Winger
Quality + Role Fit,0.75,3-4-3,ST,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,0.9749708463860486,Striker,Striker
Quality + Role Fit,0.75,5-3-2,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.8765000000000001,Goalkeeper,GoalkeeperSkill
Quality + Role Fit,0.75,5-3-2,LB,Nuno Mendes,252145,Left Back,86.0,0.86,0.99502880398078,0.9612716029855849,Left Back,Fullback
Quality + Role Fit,0.75,5-3-2,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.9721352062646709,Center Back,Center Back
Quality + Role Fit,0.75,5-3-2,CB2,Jonathan Tah,213331,Center Back,87.0,0.87,0.9997990044585502,0.9673492533439126,Center Back,Center Back
Quality + Role Fit,0.75,5-3-2,CB3,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,0.9697821866088103,Center Back,Center Back
Quality + Role Fit,0.75,5-3-2,RB,Carvajal,204963,Right Back,85.0,0.85,0.98902408278031,0.9542680620852325,Right Back,Fullback
Quality + Role Fit,0.75,5-3-2,DM,Moisés Caicedo,256079,Defensive Midfielder,87.0,0.87,0.9827188664274614,0.9545391498205961,Defensive Midfielder,Defensive Midfielder
Quality + Role Fit,0.75,5-3-2,CM1,Macarton Louis Nickson,278197,Central Midfielder,66.0,0.66,0.954995001040222,0.8812462507801665,Central Midfielder,Central Midfielder
Quality + Role Fit,0.75,5-3-2,CM2,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.8802914844147863,Central Midfielder,Central Midfielder
Quality + Role Fit,0.75,5-3-2,ST1,Victor Osimhen,232293,Striker,87.0,0.87,0.9996334420377488,0.9672250815283117,Striker,Striker
Quality + Role Fit,0.75,5-3-2,ST2,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,0.9749708463860486,Striker,Striker
